,brands,flavors,characteristics,text
3337,,кислый,,сладости кисло
3338,,,литр,масло литр
3340,gorilla,,,енергетик gorilla
3341,,вафельный,корж,вафельный корж
3342,мульти,зерновой,,мульти зерновой хлеб
3343,,,тряпка,тряпка к
3344,,ржаной,аш,ржаной аш
3345,венскик,,,вафли венскик
3346,брекеты,мороженое,,мороженое брекеты
3347,,,нож,нож и
3348,100,острый,,чипсы 100 остро
3349,емэнэмс,,,эмэнэмс
3350,овсяное,молочное,,молоко растительное овсяное
3351,гмикролакс,,,гмикролакс
3352,нарцы,,,нарцы
3353,,грушный,,творожок с грушей
3354,Бритья,,станок до я,станок до я бритья
3355,martini,,,martini
3356,стекло,форель,,стекла форели
3357,,,круготесы,круготесы
3358,,кукурузный,наполненные,кукурузный напол
3359,корейские,вкусом,,корейские вкусом
3360,,рисовый,,рисовый
3361,адрина,,,адрина
3362,вэй,гриль,,гриль вэй
3363,Царские,квас,,квас царские
3364,монурал,,,монурал
3365,,,,молоко детское
3366,Ричмонд,тобакковый,,жвачка
3367,carbon,,наполнитель,наполнитель carbon
3368,Клинская,,кол,клинская кол
3369,дамкстос,,,дамкстос
3370,,,кульки,кульки
3371,чай,"кокосовый, ванильный","горячий, с молоком и сахаром по вкусу",к чау
3372,,овощные,заморские,овощи замор
3373,,,филе голени,филе голени
3374,,,"для одежды, вешалка",вешалка для одежды
3375,шурпа,,,шурпа
3376,,темная,,плитка темная
3377,,сухой,шампунь,сухие шампунь
3378,соляянка,"солёный, оливковый",из свежих овощей,соляянка
3379,кривет,,,кривет
3380,,освежитель,баллон,освежитель воздуха баллон
3382,,витамин C,,витамин c
3383,,пельменный,лента,пельмени лента
3384,шпрот,,,шпрот
3385,конфетница,,,конфетница
3386,монарх,кофе,,кофе монарх
3387,,кот,для кошек,ком для котят
3388,,,детская зубная,детская  зубная
3389,,горький шоколад,,горький шоколад от
3390,,мёд,,мёд
3391,,красная,рыба,красная рыба
3392,,,тесто для мантов,тесто для мантов
3393,ariel,,,гель ariel
3394,,,"детские, влажные, салфетки",влажные салфетки детские
3395,тархун,,,паста тархун
3396,макдональдс,,,макдональдс
3397,,,приправа,приправа
3398,Maggi,для грудки,,maggi для грудки
3399,чиа,,семена,семена чиа
3400,кал,майонез,,майонез кал
3401,Ламбер,,,ламбер
3402,фрутонян,молочный,,молоко фрутонян
3403,,обезжирено,,молоко обезжиренное
3404,,жасмин,,жасмином
3405,,творожный,,творог об
3406,SOS,,крем от ожогов,sos крем от ожогов
3407,,,котлеты,котлеты
3408,килька,,,килька в
3409,маршмellow,,"хрустящий, вкус сладкий",маршемо
3410,осетинский,пирожный (осетинский),,осетинский пирог а
3411,,,"традиционное японское блюдо, в виде кусочка риса, заполненного различными ингредиентами",онигир
3413,ровангый,перец,,перец фарш ровангый
3414,,"шоколадный, темный",,шоколад тёмн
3415,марко,,кп,марковкп
3416,фри,,"фри-творог, фри-сыр, фри-, фри-овощи",фри
3417,,песто,,песто
